id,kind,code,ts,classification,note,source
RIL-014,gap,GAP_CONFIRMED,2026-07-16,,"---
status: PROMOTED
recurrences: 3
false_gap: false
first_seen: 2026-07-16
promoted_to: hermes-path-safety
---
# CONFIRMED GAP — msys/Windows path translation in `patch`/`write_file` - **Fingerprint:** `file + patch + write_file | ASSUMPTION_LOCK | msys-path-translation | assumed /c/ maps to C:\`
- **Date:** 2026-07-16
- **Classification:** TOOL_MISUSE + ASSUMPTION_LOCK
- **Verdict:** CONFIRMED_GAP (external signal)
- **Evidence:** - `write_file` with path `/c/Users/rpresendieu/...` returned",migrate-gaps
RIL-001,event,RILP_INSTALLED,2026-07-16T03:15:57Z,,RILP v1.1 spec saved; scaffolding created under ~/.hermes/learning and ~/.hermes/skills,migrate-events.jsonl
RIL-002,event,TASK_STARTED,2026-07-16T03:28:20.145066+00:00,,verify HERMES_HOME path fix,migrate-events.jsonl
RIL-003,event,TASK_STARTED,2026-07-16T03:35:02.056528+00:00,,final verification of cron continuity,migrate-events.jsonl
RIL-004,event,TASK_STARTED,2026-07-16T03:37:05.972964+00:00,,verify deterministic path,migrate-events.jsonl
RIL-005,event,SKILL_PROMOTED,2026-07-16T03:43:22.250204+00:00,,hermes-path-safety from gap_2026-07-16 (3rd recurrence),migrate-events.jsonl
RIL-006,event,GAP_OBSERVED,2026-07-16T03:43:22.423417+00:00,,post-promotion audit: path gap now has active-skill enforcement,migrate-events.jsonl
RIL-007,event,TASK_STARTED,2026-07-16T16:00:52.686319+00:00,,loopy daily slice,migrate-events.jsonl
RIL-008,event,GAP_OBSERVED,2026-07-16T16:05:47.272342+00:00,,loop bookkeeping (PROGRESS.md/reviews) is non-atomic with loop.py merge; an interrupted run can leave a Progress Log entry with Next steps still unchecked / status stale (DESIGN_GAP). Consider making brief/merge also touch PROGRESS.md or wrapping bookkeeping in the same transaction.,migrate-events.jsonl
RIL-009,event,TASK_STARTED,2026-07-17T16:00:49.940210+00:00,,loopy daily slice,migrate-events.jsonl
RIL-010,event,TASK_STARTED,2026-07-18T16:00:28.731661+00:00,,loopy daily slice,migrate-events.jsonl
RIL-011,event,TASK_STARTED,2026-07-19T16:00:56.286731+00:00,,loopy daily slice,migrate-events.jsonl
RIL-012,event,PREFLIGHT_COMPLETED/GAP_OBSERVED,2026-07-20,,Evolved OmniCRM into PCE: projects(26 PCE fields)+milestones(weight-driven completion)+immutable journal. 25 projects seeded. 15/15 ad-hoc verify passed.,migrate-events.jsonl
RIL-013,event,TASK_STARTED,2026-07-20T16:01:01.019175+00:00,,loopy daily slice,migrate-events.jsonl
RIL-015,event,TASK_STARTED,2026-07-20T17:30:00+00:00,,"build OmniCRM desktop launcher (pythonw, no-console) + Desktop .lnk shortcut",backfill-2026-07-20
RIL-016,event,GAP_OBSERVED,2026-07-20T17:32:00+00:00,,RILP ledger not appended during feature work — discipline gap; ledger fell silent after bridge build,backfill-2026-07-20
RIL-017,event,TASK_STARTED,2026-07-20T17:45:00+00:00,,"connect RILP to OmniCRM: added immutable 'rilp' entity, rilp_bridge.py, /api/rilp endpoints; mirrored 14 existing events+gap",backfill-2026-07-20
RIL-018,event,TASK_STARTED,2026-07-20T18:10:00+00:00,,"import contact batch ( + ) into OmniCRM contacts, deduped by email",backfill-2026-07-20
RIL-019,event,TASK_STARTED,2026-07-20T18:40:00+00:00,,"import contact batch from contacts.csv into OmniCRM, deduped vs set",backfill-2026-07-20
RIL-020,event,GAP_CONFIRMED,2026-07-20T18:50:00+00:00,,"RILP ledger silence: no automated enforcement that events are logged per task; bridge is write-only on demand, not triggered",backfill-2026-07-20
RIL-021,event,GAP_CONFIRMED,2026-07-20T18:55:00+00:00,,"RILP enforcement gap: model ships features but skips ledger appends for multiple turns; ledger went silent after bridge build. Fix: rilp_backfill.py + rilp_health.py. Lesson: logging must be enforced mechanically, not by intention.",manual-final
